specialite_1,specialite_2,of,pct_multi,stag_mean_tam
"Informatique, traitement de l'information, réseaux de transmission des données",Journalisme et communication,140,0.47014574518100605,354.53846153846155
"Commerce, vente","Droit, sciences politiques",138,0.463429377392706,222.86666666666667
Développement des capacités comportementales et relationnelles,"Informatique, traitement de l'information, réseaux de transmission des données",136,0.4567130096044059,203.2
"Langues vivantes, civilisations étrangères et régionales","Secrétariat, bureautique",133,0.4466384579219558,119.5
"Commerce, vente",Linguistique,131,0.43992209013365574,203.9090909090909
"Droit, sciences politiques",Formations générales,130,0.4365639062395057,296.1
"Langues vivantes, civilisations étrangères et régionales",Linguistique,130,0.4365639062395057,43.25
Autres...,"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",128,0.4298475384512056,534.6666666666666
"Enseignement, formation",Spécialités plurivalentes sanitaires et sociales,128,0.4298475384512056,308.14285714285717
"Ressources humaines, gestion du personnel, gestion de l'emploi","Sécurité des biens et des personnes, police, surveillance",128,0.4298475384512056,330.34615384615387
"Commerce, vente",Développement des capacités individuelles d'organisation,126,0.4231311706629055,212.21428571428572
Formations générales,Spécialités plurivalentes des services,125,0.41977298676875546,98.71428571428571
"Commerce, vente",Economie,121,0.4063402511921553,0.0
Développement des capacités comportementales et relationnelles,Spécialités plurivalentes de la communication,120,0.4029820672980053,136.94117647058823
Développement des capacités comportementales et relationnelles,Spécialités concernant plusieurs capacités,119,0.3996238834038552,332.375
"Accueil, hôtellerie, tourisme","Commerce, vente",119,0.3996238834038552,335.61538461538464
Développement des capacités comportementales et relationnelles,Psychologie,118,0.3962656995097052,202.16666666666666
"Informatique, traitement de l'information, réseaux de transmission des données","Langues vivantes, civilisations étrangères et régionales",116,0.38954933172140505,160.6315789473684
Autres...,"Transport, manutention, magasinage",114,0.38283296393310495,392.18518518518516
"Electricité, électronique (non compris automatisme et productique)",Formations générales,114,0.38283296393310495,500.0625
Développement des capacités comportementales et relationnelles,Travail social,113,0.3794747800389549,149.25
"Ressources humaines, gestion du personnel, gestion de l'emploi","Transport, manutention, magasinage",113,0.3794747800389549,622.55
Autres...,"Comptabilité, gestion",111,0.37275841225065487,115.88888888888889
"Finances, banque, assurances","Ressources humaines, gestion du personnel, gestion de l'emploi",111,0.37275841225065487,350.6666666666667
"Secrétariat, bureautique",Spécialités plurivalentes de la communication,109,0.3660420444623548,160.75
Spécialités plurivalentes des services,Spécialités plurivalentes des échanges et de la gestion,108,0.36268386056820473,119.6
"Ressources humaines, gestion du personnel, gestion de l'emploi",Travail social,107,0.3593256766740547,299.6666666666667
"Droit, sciences politiques","Finances, banque, assurances",105,0.3526093088857546,333.0
"Finances, banque, assurances",Spécialités plurivalentes des échanges et de la gestion,101,0.3391765733091544,127.0
"Commerce, vente",Santé,101,0.3391765733091544,242.1764705882353
Développement des capacités comportementales et relationnelles,"Sécurité des biens et des personnes, police, surveillance",101,0.3391765733091544,542.375
Linguistique,"Secrétariat, bureautique",101,0.3391765733091544,759.7368421052631
Autres...,"Langues vivantes, civilisations étrangères et régionales",99,0.3324602055208543,145.93333333333334
Développement des capacités individuelles d'organisation,Développement des capacités mentales et apprentissages de base,99,0.3324602055208543,371.3333333333333
Formations générales,Spécialités plurivalentes de la communication,99,0.3324602055208543,88.7
"Informatique, traitement de l'information, réseaux de transmission des données",Spécialités plurivalentes des échanges et de la gestion,98,0.32910202162670427,204.5
Journalisme et communication,"Techniques de l'image et du son, métiers connexes du spectacle",97,0.3257438377325542,44.666666666666664
"Enseignement, formation","Secrétariat, bureautique",95,0.3190274699442541,126.54545454545455
"Informatique, traitement de l'information, réseaux de transmission des données","Mathématiques, statistiques",94,0.31566928605010414,213.0
Formations générales,Spécialités plurivalentes sanitaires et sociales,94,0.31566928605010414,154.125
Psychologie,Travail social,93,0.3123111021559541,306.6666666666667
"Agro-alimentaire, alimentation, cuisine","Ressources humaines, gestion du personnel, gestion de l'emploi",92,0.30895291826180404,467.53846153846155
"Langues vivantes, civilisations étrangères et régionales","Ressources humaines, gestion du personnel, gestion de l'emploi",92,0.30895291826180404,154.76470588235293
Formations générales,"Français, littérature et civilisation françaises",91,0.305594734367654,354.625
"Agro-alimentaire, alimentation, cuisine","Langues vivantes, civilisations étrangères et régionales",91,0.305594734367654,274.76
Spécialités plurivalentes des échanges et de la gestion,"Transport, manutention, magasinage",89,0.2988783665793539,82.83333333333333
Autres...,"Secrétariat, bureautique",89,0.2988783665793539,88.0
"Animation culturelle, sportive et de loisirs",Pratiques sportives,89,0.2988783665793539,108.0
"Comptabilité, gestion","Langues vivantes, civilisations étrangères et régionales",88,0.29552018268520386,184.71428571428572
"Coiffure, esthétique et autres spécialités des services aux personnes","Enseignement, formation",87,0.2921619987910538,173.25
"Informatique, traitement de l'information, réseaux de transmission des données",Linguistique,86,0.28880381489690377,152.52631578947367
"Comptabilité, gestion",Economie,85,0.2854456310027537,252.0
"Enseignement, formation",Pratiques sportives,85,0.2854456310027537,153.0
Journalisme et communication,"Ressources humaines, gestion du personnel, gestion de l'emploi",85,0.2854456310027537,98.75
"Commerce, vente","Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",85,0.2854456310027537,127.64285714285714
Formations générales,Technologies industrielles fondamentales,85,0.2854456310027537,221.0
"Accueil, hôtellerie, tourisme","Agro-alimentaire, alimentation, cuisine",83,0.2787292632144536,265.4166666666667
"Electricité, électronique (non compris automatisme et productique)","Energie, génie climatique",83,0.2787292632144536,738.875
Formations générales,"Spécialités pluridisciplinaires, sciences humaines et droit",82,0.2753710793203036,243.0
"Ressources humaines, gestion du personnel, gestion de l'emploi",Spécialités plurivalentes sanitaires et sociales,82,0.2753710793203036,442.3888888888889
Autres...,"Coiffure, esthétique et autres spécialités des services aux personnes",80,0.2686547115320035,211.14285714285714
"Informatique, traitement de l'information, réseaux de transmission des données","Sécurité des biens et des personnes, police, surveillance",80,0.2686547115320035,407.94117647058823
"Comptabilité, gestion",Spécialités plurivalentes de la communication,80,0.2686547115320035,190.17391304347825
Formations générales,Travail social,78,0.2619383437437034,157.91666666666666
"Ressources humaines, gestion du personnel, gestion de l'emploi",Spécialités plurivalentes des services,77,0.25858015984955335,263.55555555555554
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Développement des capacités mentales et apprentissages de base,77,0.25858015984955335,220.07142857142858
Bâtiment: construction et couverture,Formations générales,77,0.25858015984955335,384.6666666666667
"Aménagement paysager (parcs, jardins, espaces verts)","Productions végétales,cultures spécialisées",77,0.25858015984955335,493.0
"Comptabilité, gestion",Développement des capacités comportementales et relationnelles,76,0.2552219759554033,250.64705882352942
"Informatique, traitement de l'information, réseaux de transmission des données",Santé,75,0.25186379206125326,266.1818181818182
Bâtiment: construction et couverture,"Energie, génie climatique",75,0.25186379206125326,387.3333333333333
"Animation culturelle, sportive et de loisirs","Enseignement, formation",75,0.25186379206125326,584.75
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Musique, arts du spectacle",74,0.2485056081671032,169.25
Autres...,Spécialités plurivalentes de la communication,74,0.2485056081671032,144.41666666666666
Santé,"Transport, manutention, magasinage",74,0.2485056081671032,526.9333333333333
"Agro-alimentaire, alimentation, cuisine","Sécurité des biens et des personnes, police, surveillance",74,0.2485056081671032,291.2631578947368
Spécialités plurivalentes de la communication,Spécialités plurivalentes des services,74,0.2485056081671032,123.16666666666667
"Nettoyage, assainissement, protection de l'environnement","Sécurité des biens et des personnes, police, surveillance",73,0.24514742427295316,480.76190476190476
Santé,"Secrétariat, bureautique",73,0.24514742427295316,870.8125
"Droit, sciences politiques","Spécialités pluridisciplinaires, sciences humaines et droit",73,0.24514742427295316,90.4
"Agro-alimentaire, alimentation, cuisine",Autres...,73,0.24514742427295316,360.3125
Bâtiment: construction et couverture,"Transport, manutention, magasinage",72,0.24178924037880312,1130.6875
"Aménagement paysager (parcs, jardins, espaces verts)",Spécialités plurivalentes de l'agronomie et de l'agriculture,72,0.24178924037880312,371.5
"Informatique, traitement de l'information, réseaux de transmission des données","Techniques de l'image et du son, métiers connexes du spectacle",71,0.23843105648465307,40.5
Développement des capacités mentales et apprentissages de base,"Enseignement, formation",71,0.23843105648465307,201.0
"Enseignement, formation",Psychologie,70,0.23507287259050302,325.8333333333333
Arts plastiques,Autres disciplines artistiques et spécialités artistiques plurivalentes,70,0.23507287259050302,106.0
Formations générales,Psychologie,70,0.23507287259050302,267.25
Développement des capacités individuelles d'organisation,"Enseignement, formation",69,0.231714688696353,120.2
"Comptabilité, gestion","Transport, manutention, magasinage",69,0.231714688696353,151.88888888888889
Spécialités plurivalentes de la communication,"Techniques de l'image et du son, métiers connexes du spectacle",68,0.22835650480220296,51.2
"Commerce, vente",Spécialités plurivalentes sanitaires et sociales,68,0.22835650480220296,155.2
Développement des capacités comportementales et relationnelles,Journalisme et communication,68,0.22835650480220296,543.375
Autres...,"Electricité, électronique (non compris automatisme et productique)",67,0.2249983209080529,687.1666666666666
Psychologie,"Ressources humaines, gestion du personnel, gestion de l'emploi",66,0.2216401370139029,217.2
"Coiffure, esthétique et autres spécialités des services aux personnes","Commerce, vente",66,0.2216401370139029,204.58333333333334
Bâtiment: construction et couverture,"Spécialités pluritechnologiques, génie civil, construction, bois",66,0.2216401370139029,399.57142857142856
Développement des capacités comportementales et relationnelles,Spécialités plurivalentes des échanges et de la gestion,66,0.2216401370139029,244.0
"Droit, sciences politiques","Informatique, traitement de l'information, réseaux de transmission des données",65,0.21828195311975285,98.375
"Accueil, hôtellerie, tourisme","Ressources humaines, gestion du personnel, gestion de l'emploi",65,0.21828195311975285,362.9166666666667
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Vie familiale, vie sociale et autres formations au développement personnel",64,0.2149237692256028,68.33333333333333
"Agro-alimentaire, alimentation, cuisine",Santé,64,0.2149237692256028,346.3076923076923
"Comptabilité, gestion","Enseignement, formation",64,0.2149237692256028,66.0
Autres...,Développement des capacités individuelles d'organisation,64,0.2149237692256028,428.25
"Enseignement, formation",Spécialités plurivalentes de la communication,63,0.21156558533145275,128.5
Economie,"Finances, banque, assurances",61,0.2048492175431527,0.0
Economie,"Ressources humaines, gestion du personnel, gestion de l'emploi",61,0.2048492175431527,55.0
Linguistique,"Ressources humaines, gestion du personnel, gestion de l'emploi",61,0.2048492175431527,169.5
"Accueil, hôtellerie, tourisme","Enseignement, formation",60,0.20149103364900264,97.66666666666667
Spécialités plurivalentes de la communication,Spécialités plurivalentes sanitaires et sociales,60,0.20149103364900264,201.8
Développement des capacités comportementales et relationnelles,"Secrétariat, bureautique",60,0.20149103364900264,216.375
Autres...,Travail social,60,0.20149103364900264,484.5
Développement des capacités individuelles d'organisation,Formations générales,59,0.1981328497548526,136.9
"Agro-alimentaire, alimentation, cuisine","Comptabilité, gestion",59,0.1981328497548526,268.5882352941176
Autres...,Linguistique,59,0.1981328497548526,209.14285714285714
Développement des capacités comportementales et relationnelles,Spécialités plurivalentes sanitaires et sociales,59,0.1981328497548526,239.25
"Enseignement, formation","Français, littérature et civilisation françaises",59,0.1981328497548526,167.0
"Animation culturelle, sportive et de loisirs",Travail social,59,0.1981328497548526,209.125
Développement des capacités individuelles d'organisation,"Informatique, traitement de l'information, réseaux de transmission des données",59,0.1981328497548526,76.14285714285714
"Documentation, bibliothèques, administration des données","Informatique, traitement de l'information, réseaux de transmission des données",58,0.19477466586070252,41.0
"Finances, banque, assurances","Informatique, traitement de l'information, réseaux de transmission des données",58,0.19477466586070252,704.0
"Enseignement, formation",Linguistique,58,0.19477466586070252,254.0
"Informatique, traitement de l'information, réseaux de transmission des données","Transport, manutention, magasinage",58,0.19477466586070252,350.0
Technologies de commandes des transformations industrielles,Technologies industrielles fondamentales,58,0.19477466586070252,330.0
"Electricité, électronique (non compris automatisme et productique)","Informatique, traitement de l'information, réseaux de transmission des données",57,0.19141648196655248,248.2
Développement des capacités comportementales et relationnelles,"Finances, banque, assurances",57,0.19141648196655248,293.5
Bâtiment: construction et couverture,"Mines et carrières, génie civil, topographie",57,0.19141648196655248,358.6
Développement des capacités comportementales et relationnelles,"Langues vivantes, civilisations étrangères et régionales",57,0.19141648196655248,194.1818181818182
"Comptabilité, gestion",Spécialités plurivalentes des services,56,0.18805829807240243,79.16666666666667
Autres...,Journalisme et communication,56,0.18805829807240243,69.4
"Français, littérature et civilisation françaises",Linguistique,56,0.18805829807240243,162.33333333333334
"Finances, banque, assurances",Formations générales,56,0.18805829807240243,267.25
"Agro-alimentaire, alimentation, cuisine","Productions végétales,cultures spécialisées",56,0.18805829807240243,150.0909090909091
"Langues vivantes, civilisations étrangères et régionales",Spécialités plurivalentes de la communication,56,0.18805829807240243,121.0
"Ressources humaines, gestion du personnel, gestion de l'emploi","Spécialités pluridisciplinaires, sciences humaines et droit",56,0.18805829807240243,243.0
"Comptabilité, gestion",Linguistique,56,0.18805829807240243,93.73333333333333
"Techniques de l'image et du son, métiers connexes du spectacle",Techniques de l'imprimerie et de l'édition,55,0.1847001141782524,86.5
"Enseignement, formation","Vie familiale, vie sociale et autres formations au développement personnel",55,0.1847001141782524,218.28571428571428
"Energie, génie climatique","Spécialités pluritechnologiques, génie civil, construction, bois",55,0.1847001141782524,215.5
Spécialités plurivalentes des services,"Transport, manutention, magasinage",54,0.18134193028410237,85.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Techniques de l'image et du son, métiers connexes du spectacle",54,0.18134193028410237,24.0
Spécialités plurivalentes des échanges et de la gestion,Spécialités plurivalentes sanitaires et sociales,54,0.18134193028410237,259.2857142857143
"Commerce, vente",Moteurs et mécanique auto,53,0.17798374638995232,500.45454545454544
Formations générales,"Spécialités pluritechnologiques, génie civil, construction, bois",53,0.17798374638995232,225.2
"Electricité, électronique (non compris automatisme et productique)",Santé,52,0.17462556249580227,531.2857142857143
"Droit, sciences politiques",Spécialités plurivalentes des échanges et de la gestion,52,0.17462556249580227,275.3333333333333
Spécialités concernant plusieurs capacités,Spécialités plurivalentes sanitaires et sociales,52,0.17462556249580227,131.2
"Secrétariat, bureautique","Transport, manutention, magasinage",52,0.17462556249580227,135.66666666666666
Bâtiment: construction et couverture,"Electricité, électronique (non compris automatisme et productique)",52,0.17462556249580227,772.75
"Enseignement, formation",Spécialités plurivalentes des échanges et de la gestion,52,0.17462556249580227,162.23076923076923
"Commerce, vente","Sécurité des biens et des personnes, police, surveillance",52,0.17462556249580227,248.88888888888889
Formations générales,Spécialités pluriscientifiques,52,0.17462556249580227,85.0
"Commerce, vente","Productions animales, élevage spécialisé, aquaculture, ...",51,0.17126737860165223,162.66666666666666
"Agro-alimentaire, alimentation, cuisine",Spécialités plurivalentes des échanges et de la gestion,51,0.17126737860165223,395.0
Autres...,"Droit, sciences politiques",50,0.16790919470750218,65.0
"Spécialités pluridisciplinaires, sciences humaines et droit",Spécialités plurivalentes des échanges et de la gestion,50,0.16790919470750218,165.0
"Droit, sciences politiques","Sciences sociales (y compris démographie, anthropologie)",50,0.16790919470750218,0.0
Pratiques sportives,Santé,50,0.16790919470750218,679.0
"Langues vivantes, civilisations étrangères et régionales",Spécialités plurivalentes des échanges et de la gestion,50,0.16790919470750218,95.18181818181819
Spécialités plurivalentes sanitaires et sociales,"Sécurité des biens et des personnes, police, surveillance",50,0.16790919470750218,352.1
Journalisme et communication,"Secrétariat, bureautique",49,0.16455101081335213,71.8
"Secrétariat, bureautique",Spécialités plurivalentes sanitaires et sociales,49,0.16455101081335213,237.66666666666666
Autres...,Spécialités plurivalentes sanitaires et sociales,48,0.1611928269192021,356.5
"Electricité, électronique (non compris automatisme et productique)","Enseignement, formation",48,0.1611928269192021,714.0
"Agro-alimentaire, alimentation, cuisine",Linguistique,48,0.1611928269192021,148.5
"Energie, génie climatique",Formations générales,48,0.1611928269192021,153.6
"Enseignement, formation",Journalisme et communication,47,0.15783464302505207,89.0
"Secrétariat, bureautique",Spécialités plurivalentes des échanges et de la gestion,47,0.15783464302505207,331.77777777777777
Bâtiment: finitions,"Energie, génie climatique",47,0.15783464302505207,441.8333333333333
"Musique, arts du spectacle","Techniques de l'image et du son, métiers connexes du spectacle",47,0.15783464302505207,43.666666666666664
"Commerce, vente",Travail social,47,0.15783464302505207,89.44444444444444
"Informatique, traitement de l'information, réseaux de transmission des données",Spécialités plurivalentes sanitaires et sociales,47,0.15783464302505207,171.92307692307693
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Informatique, traitement de l'information, réseaux de transmission des données",46,0.15447645913090202,88.14285714285714
Psychologie,"Sciences sociales (y compris démographie, anthropologie)",46,0.15447645913090202,416.0
Développement des capacités comportementales et relationnelles,Pratiques sportives,46,0.15447645913090202,88.0
"Agro-alimentaire, alimentation, cuisine",Moteurs et mécanique auto,46,0.15447645913090202,180.0
"Electricité, électronique (non compris automatisme et productique)","Spécialités pluritechnologiques, génie civil, construction, bois",46,0.15447645913090202,748.6666666666666
Développement des capacités mentales et apprentissages de base,"Ressources humaines, gestion du personnel, gestion de l'emploi",45,0.15111827523675198,368.6666666666667
Autres...,"Vie familiale, vie sociale et autres formations au développement personnel",45,0.15111827523675198,24.0
"Droit, sciences politiques","Langues vivantes, civilisations étrangères et régionales",45,0.15111827523675198,76.5
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Spécialités concernant plusieurs capacités,44,0.14776009134260193,176.85714285714286
"Commerce, vente","Electricité, électronique (non compris automatisme et productique)",44,0.14776009134260193,306.1666666666667
"Informatique, traitement de l'information, réseaux de transmission des données",Techniques de l'imprimerie et de l'édition,44,0.14776009134260193,402.0
"Agro-alimentaire, alimentation, cuisine","Transport, manutention, magasinage",44,0.14776009134260193,502.4166666666667
"Aménagement paysager (parcs, jardins, espaces verts)","Forêts, espaces naturels, faune sauvage, pêche",43,0.14440190744845188,201.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Santé,43,0.14440190744845188,353.2857142857143
"Agro-alimentaire, alimentation, cuisine","Enseignement, formation",43,0.14440190744845188,272.25
"Secrétariat, bureautique",Travail social,43,0.14440190744845188,82.36363636363636
"Habillement (y compris mode, couture)",Textile,42,0.14104372355430184,34.0
"Commerce, vente","Productions végétales,cultures spécialisées",42,0.14104372355430184,183.125
"Mines et carrières, génie civil, topographie","Transport, manutention, magasinage",42,0.14104372355430184,771.8333333333334
"Accueil, hôtellerie, tourisme",Autres...,42,0.14104372355430184,327.5
"Electricité, électronique (non compris automatisme et productique)","Spécialités plutitechnologiques, mécanique-électricité",42,0.14104372355430184,298.0
"Animation culturelle, sportive et de loisirs",Formations générales,42,0.14104372355430184,92.55555555555556
"Aménagement paysager (parcs, jardins, espaces verts)",Formations générales,42,0.14104372355430184,602.1428571428571
"Sécurité des biens et des personnes, police, surveillance",Travail social,41,0.1376855396601518,261.7142857142857
Développement des capacités individuelles d'organisation,Spécialités concernant plusieurs capacités,41,0.1376855396601518,224.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Travail social,41,0.1376855396601518,150.33333333333334
Autres disciplines artistiques et spécialités artistiques plurivalentes,Autres...,41,0.1376855396601518,21.666666666666668
"Langues vivantes, civilisations étrangères et régionales","Transport, manutention, magasinage",41,0.1376855396601518,129.0
Journalisme et communication,Techniques de l'imprimerie et de l'édition,41,0.1376855396601518,5.0
"Mathématiques, statistiques",Physique-chimie,41,0.1376855396601518,0.0
"Secrétariat, bureautique","Sécurité des biens et des personnes, police, surveillance",41,0.1376855396601518,254.0
"Animation culturelle, sportive et de loisirs",Santé,41,0.1376855396601518,219.0
"Comptabilité, gestion",Journalisme et communication,41,0.1376855396601518,117.14285714285714
