rang,denomination,code_postal,ville,adresse,region,dept,effectif,nb_stagiaires,stagiaires_par_formateur,specialite,production_estimee_livrables_par_mois
32,EVOLIS FORMATION,59300.0,VALENCIENNES,59  BOULEVARD PATER,Hauts-de-France,59,10,4975,497.5,"Enseignement, formation",414.6
33,TECC FORMATION,,,,Pays de la Loire,-,10,4392,439.2,"Sécurité des biens et des personnes, police, surveillance",366.0
34,SOC EUROPEENNE DE CONTROLE TECHNIQUE AUTOMOBILE (AUTOSUR),,,,Île-de-France,-,9,4187,465.2,Moteurs et mécanique auto,348.9
35,LEMON ADDS,,,,Nouvelle-Aquitaine,-,5,4095,819.0,Développement des capacités comportementales et relationnelles,341.2
36,FRANCE ELEVATEUR,,,,Grand Est,-,4,4048,1012.0,"Spécialités plutitechnologiques, mécanique-électricité",337.3
37,SECURIFORM,,,,Hauts-de-France,-,10,4043,404.3,"Sécurité des biens et des personnes, police, surveillance",336.9
38,EGS (NOM COMMERCIAL FORMAFORCE),,,,Hauts-de-France,-,5,3985,797.0,Bâtiment: construction et couverture,332.1
39,ACADEMY DE LA FORMATION - SARL D.E.P.,50113.0,CHERBOURG EN COTENTIN,130 Rue Longue Mare CHERBOURG EN COTENTIN,Normandie,50,10,3948,394.8,Formations générales,329.0
40,M&BOCA,,,,Nouvelle-Aquitaine,-,5,3922,784.4,Spécialités plurivalentes de la communication,326.8
41,CENTAURE ILE DE FRANCE,,,,Île-de-France,-,9,3908,434.2,"Enseignement, formation",325.7
42,FOCUS QUALITE,,,,Occitanie,-,5,3752,750.4,Santé,312.7
43,SENIOR DENTAL CONFORT,92270.0,BOIS COLOMBES,7  RUE DES PEUPLIERS,Île-de-France,92,3,3735,1245.0,Santé,311.2
44,ERVE Philippe - PREV-ONE FORMATION,49450.0,ST MACAIRE EN MAUGES,"2, rue des Alouettes",Pays de la Loire,49,5,3645,729.0,"Sécurité des biens et des personnes, police, surveillance",303.8
45,SELFORME,,,,Bourgogne-Franche-Comté,-,9,3563,395.9,"Energie, génie climatique",296.9
46,SOCIETE FINANCIERE XAVIER HALLIGON - UP'TEAMHOMME,,,,Pays de la Loire,-,5,3540,708.0,"Ressources humaines, gestion du personnel, gestion de l'emploi",295.0
47,AFOR+ SAS,31000.0,TOULOUSE,31 RUE DE METZ Appartement 46,Occitanie,31,9,3407,378.6,Travail social,283.9
48,IDEAL PREVENTION SECURITE AUDIT CONSEIL,,,,Auvergne-Rhône-Alpes,-,10,3386,338.6,"Transport, manutention, magasinage",282.2
49,ARCHE LIVIA,,,,Provence-Alpes-Côte d'Azur,-,7,3352,478.9,Spécialités plurivalentes sanitaires et sociales,279.3
50,GUY HOQUET L'IMMOBILIER,94250.0,GENTILLY,39 AVENUE PAUL VAILLANT COUTURIER,Île-de-France,94,7,3293,470.4,"Commerce, vente",274.4
